City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Nanortalik,GL,60.1432,-45.2371,22.1,81,4,6.96,clear sky
123,Berlevag,NO,70.8578,29.0864,19.2,86,75,1.14,broken clouds
124,Bukama,CD,-9.2,25.85,67.24,97,100,0.45,overcast clouds
125,Curitibanos,BR,-27.2828,-50.5844,64.51,99,47,4.83,scattered clouds
126,Vila Velha,BR,-20.3297,-40.2925,78.75,94,20,2.3,few clouds
127,Padang,ID,-0.9492,100.3543,80.65,79,47,2.62,scattered clouds
128,Castro,BR,-24.7911,-50.0119,65.28,92,97,4.52,overcast clouds
129,Varzea Da Palma,BR,-17.5981,-44.7308,71.02,85,26,1.61,scattered clouds
130,Kavaratti,IN,10.5669,72.642,81.32,67,75,14.54,broken clouds
131,Kathmandu,NP,27.7167,85.3167,46.62,87,20,2.3,mist
132,Kutum,SD,14.2,24.6667,56.39,22,56,8.7,broken clouds
133,Dagana,MR,16.5165,-15.5068,80.38,24,0,10.58,clear sky
134,Nueva Loja,EC,0.0847,-76.8828,70.0,93,71,3.13,broken clouds
135,Baie-Comeau,CA,49.2168,-68.1489,11.88,67,0,10.36,clear sky
136,Banyo,CM,6.75,11.8167,64.58,36,2,2.93,clear sky
137,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.17,91,8,7.23,clear sky
138,Inzhavino,RU,52.3185,42.4937,25.38,95,100,18.9,snow
139,Palmas,BR,-10.2128,-48.3603,76.87,94,75,2.3,broken clouds
140,Eyl,SO,7.9803,49.8164,74.14,73,100,12.62,overcast clouds
141,Pedernales,DO,18.0384,-71.744,74.59,70,0,1.54,clear sky
142,Ilhabela,BR,-23.7781,-45.3581,72.14,88,88,6.51,overcast clouds
143,Laguna,US,38.421,-121.4238,52.92,78,100,0.0,overcast clouds
144,Rocha,UY,-34.4833,-54.3333,77.67,48,100,7.58,overcast clouds
145,Marovoay,MG,-16.1,46.6333,76.87,75,0,3.94,clear sky
146,Altamira,BR,-3.2033,-52.2064,76.91,67,97,3.22,overcast clouds
147,Uglich,RU,57.5275,38.3317,14.95,98,100,3.47,overcast clouds
148,Ostrovnoy,RU,68.0531,39.5131,20.48,89,100,18.57,overcast clouds
149,Ilulissat,GL,69.2167,-51.1,25.05,69,100,9.55,overcast clouds
150,Coquimbo,CL,-29.9533,-71.3436,62.33,100,40,5.75,scattered clouds
151,Gap,FR,44.6667,6.0,26.83,95,100,3.51,overcast clouds
152,Qaqortoq,GL,60.7167,-46.0333,14.13,73,0,7.11,clear sky
153,Mahajanga,MG,-15.7167,46.3167,75.22,94,40,3.44,scattered clouds
154,Hamilton,US,39.1834,-84.5333,48.24,91,100,3.44,mist
155,Henties Bay,NA,-22.116,14.2845,58.39,96,19,5.32,few clouds
156,Barmer,IN,25.75,71.3833,58.75,34,0,5.93,clear sky
157,Ampanihy,MG,-24.7,44.75,75.54,56,6,9.4,clear sky
158,Upernavik,GL,72.7868,-56.1549,34.05,69,100,29.95,overcast clouds
159,Taoudenni,ML,22.6783,-3.9836,74.05,17,26,5.3,scattered clouds
160,Springfield,US,37.2153,-93.2982,43.54,88,100,2.53,overcast clouds
161,Plettenberg Bay,ZA,-34.0527,23.3716,63.99,68,0,7.56,clear sky
162,Port Shepstone,ZA,-30.7414,30.455,71.67,90,12,11.79,few clouds
163,Olafsvik,IS,64.8945,-23.7142,33.78,74,7,14.14,clear sky
164,Menongue,AO,-14.6585,17.691,62.76,93,100,4.88,overcast clouds
165,Saint Anthony,US,45.0205,-93.218,32.92,83,100,4.0,overcast clouds
166,Puerto Suarez,BO,-18.95,-57.8,84.0,54,37,3.22,scattered clouds
167,Felipe Carrillo Puerto,MX,19.5833,-88.05,69.31,97,2,3.15,clear sky
168,Rio Grande,BR,-32.035,-52.0986,72.03,86,11,15.79,moderate rain
169,Victoria,HK,22.2855,114.1577,66.94,77,7,1.01,clear sky
170,Frederico Westphalen,BR,-27.3592,-53.3944,68.36,93,35,1.45,scattered clouds
171,Kudahuvadhoo,MV,2.6708,72.8944,81.23,80,91,15.12,overcast clouds
172,Luanda,AO,-8.8368,13.2343,77.27,86,100,6.13,overcast clouds
173,Zambezi,ZM,-13.5432,23.1047,62.56,96,63,2.21,broken clouds
174,Hithadhoo,MV,-0.6,73.0833,82.11,77,100,15.35,overcast clouds
175,Valparaiso,CL,-33.0393,-71.6273,69.44,64,0,4.61,clear sky
176,Bajil,YE,15.0584,43.2851,74.5,85,60,2.77,broken clouds
177,Mehran,IR,33.1222,46.1646,55.17,47,0,9.62,clear sky
178,Campos Altos,BR,-19.6961,-46.1714,64.42,49,2,1.36,clear sky
179,Maceio,BR,-9.6658,-35.7353,76.44,94,0,6.91,clear sky
180,Benghazi,LY,32.1167,20.0667,65.62,59,74,13.87,broken clouds
181,Orje,NO,59.4802,11.6602,18.14,87,98,4.99,overcast clouds
182,Riyadh,SA,24.6877,46.7219,51.94,78,100,9.86,overcast clouds
183,Villa Maria,AR,-32.4075,-63.2402,76.82,80,93,2.77,moderate rain
184,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,88,0,4.61,clear sky
185,Warri,NG,5.5167,5.75,76.8,85,13,2.08,few clouds
186,Mporokoso,ZM,-9.3727,30.125,59.63,97,100,4.97,overcast clouds
187,Ponta Do Sol,PT,32.6667,-17.1,67.01,73,99,1.99,overcast clouds
188,Jijiga,ET,9.35,42.8,56.59,36,33,6.87,scattered clouds
189,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,97,100,24.18,moderate rain
190,Bell Ville,AR,-32.6259,-62.6887,77.67,89,100,4.5,moderate rain
191,Linden,GY,6.0,-58.3,72.57,99,100,2.64,overcast clouds
192,Semenivka,UA,52.1783,32.5818,33.21,99,100,5.66,overcast clouds
193,Rognan,NO,67.0953,15.3878,23.14,81,85,7.2,overcast clouds
194,Opuwo,NA,-18.0607,13.84,62.8,36,5,2.37,clear sky
195,Mutata,CO,7.2441,-76.4356,72.84,96,86,2.59,overcast clouds
196,Iracoubo,GF,5.4802,-53.2011,77.47,86,100,8.37,overcast clouds
197,Tessalit,ML,20.1986,1.0114,69.22,17,0,7.43,clear sky
198,Westport,US,41.1415,-73.3579,38.75,59,0,5.99,clear sky
199,Coro,VE,11.4045,-69.6734,74.73,84,15,9.89,few clouds
200,Sao Filipe,CV,14.8961,-24.4956,75.31,79,3,6.67,clear sky
201,Vazante,BR,-17.9869,-46.9078,75.33,70,87,2.04,overcast clouds
202,Nizwa,OM,22.9333,57.5333,64.45,58,0,3.76,clear sky
203,Arraial Do Cabo,BR,-22.9661,-42.0278,73.2,90,0,9.69,clear sky
204,Port-Cartier,CA,50.0334,-66.8654,11.75,63,0,13.18,clear sky
205,Cartagena,CO,10.3997,-75.5144,78.42,83,0,11.5,clear sky
206,Acarau,BR,-2.8856,-40.12,78.98,80,11,14.32,few clouds
207,Nizhniy Baskunchak,RU,48.2198,46.8311,19.74,74,2,14.47,clear sky
208,Geraldton,AU,-28.7667,114.6,75.61,43,40,13.8,scattered clouds
209,Meulaboh,ID,4.1363,96.1285,78.21,76,100,2.59,light rain
210,Gouyave,GD,12.1646,-61.7296,74.17,78,20,0.0,few clouds
211,Parrita,CR,9.5201,-84.3225,75.65,83,15,2.1,few clouds
212,Mendoza,AR,-32.8908,-68.8272,89.13,27,20,11.5,few clouds
213,Wattegama,LK,6.7989,81.4808,74.16,76,86,1.45,overcast clouds
214,Kiruna,SE,67.8557,20.2251,9.52,85,100,10.36,overcast clouds
215,Paracuru,BR,-3.41,-39.0306,81.1,80,6,10.89,clear sky
