,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Samfya,ZM,64.22,moderate rain,-11.3649,29.5565,Twemu Guest house
258,Soyo,AO,77.9,light rain,-6.1349,12.3689,Hotel Maria Teres
262,San Ramon,US,52.72,overcast clouds,37.7799,-121.978,Hotel Sierra San Ramon
268,Talara,PE,68.76,drizzle,-4.5772,-81.2719,Hospedaje El Aypate
270,Nueve De Julio,AR,70.97,overcast clouds,-35.4444,-60.8831,Hotel Madrid
272,Trincomalee,LK,75.6,broken clouds,8.5711,81.2335,Silver Star Inn
275,Wilmington,US,50.86,few clouds,34.2257,-77.9447,Hell's Kitchen
277,Sinnamary,GF,77.22,overcast clouds,5.3833,-52.95,Hôtel du fleuve
278,Takoradi,GH,79.61,clear sky,4.8845,-1.7554,Hillcrest
280,Cumana,VE,77.0,overcast clouds,10.4635,-64.1775,Hotel Regina
285,Novo Aripuana,BR,77.29,broken clouds,-5.1206,-60.3797,Hotel Novo Aripuanã
286,Omboue,GA,76.84,overcast clouds,-1.5746,9.2618,Georges Faustin Aurat
287,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
289,San Ignacio,BZ,68.77,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
292,Denizli,TR,51.08,overcast clouds,37.8402,29.0698,Anemon Denizli Otel
295,San Cristobal,VE,65.84,broken clouds,7.7669,-72.225,Terra Sur
297,Rabo De Peixe,PT,63.28,moderate rain,37.8,-25.5833,Pedras do Mar Resort & Spa
300,Doha,QA,69.78,clear sky,25.2867,51.5333,Al MIrqab
301,The Valley,AI,77.83,clear sky,18.217,-63.0578,CeBlue
304,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Cape Garden
308,Huarmey,PE,67.01,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
310,Clarence Town,AU,69.85,overcast clouds,-32.5833,151.7833,Erringhi Hotel
318,Mpika,ZM,60.01,overcast clouds,-11.8343,31.4529,Melody Lodge
320,Moyale,KE,64.15,broken clouds,3.5167,39.0584,Nicest
321,Upington,ZA,76.15,scattered clouds,-28.4478,21.2561,Die Eiland Holiday Ressort
325,Angoche,MZ,76.26,broken clouds,-16.2325,39.9086,Hotel Quirimbas
327,Rio Cuarto,AR,74.68,moderate rain,-33.1307,-64.3499,Marluc
330,Akhmim,EG,55.6,clear sky,26.5622,31.745,فندق نايل تريجر سوهاج
332,Bartica,GY,72.03,overcast clouds,6.4,-58.6167,Rockville Hotel
337,Santa Cruz De Tenerife,ES,72.28,overcast clouds,28.4682,-16.2546,Hotel Príncipe Paz
338,Pisco,PE,68.02,overcast clouds,-13.7,-76.2167,La Portada
341,Tazmalt,DZ,56.84,light rain,36.3868,4.3989,Hôtel Rabah Syphax
342,Touros,BR,78.57,clear sky,-5.1989,-35.4608,Pousada Atlântico
344,Tigre,AR,73.35,few clouds,-34.426,-58.5796,Posada de 1860
346,Chilca,PE,66.61,overcast clouds,-12.5211,-76.7372,Hotel Benvenuto
350,Olinda,BR,79.14,overcast clouds,-8.0089,-34.8553,Fidji Motel
353,Antsohihy,MG,74.46,clear sky,-14.8796,47.9875,Escale
358,Kikwit,CD,67.5,overcast clouds,-5.041,18.8162,Grand Hôtel de Kikwit
360,Monrovia,LR,78.93,light rain,6.3005,-10.7969,Bella Casa Hotel
363,Richards Bay,ZA,72.3,clear sky,-28.783,32.0377,Protea Hotel
368,Banposh,IN,61.43,overcast clouds,22.25,84.8,Govt college Girls Hostel
369,San Joaquin,US,54.28,overcast clouds,37.9333,-121.3011,I-5 Inn
371,Bangalore,IN,64.04,drizzle,12.9762,77.6033,Empire
375,San Carlos,VE,75.09,overcast clouds,9.6612,-68.5827,Hotel Villas del Norte
377,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Hotel Garibardi
382,Patos De Minas,BR,73.09,overcast clouds,-18.5789,-46.5181,Gálatas Central Hotel
383,Cefalu,IT,67.35,overcast clouds,38.0386,14.0229,Madema B&B
388,Conceicao Da Barra,BR,74.53,clear sky,-18.5933,-39.7322,Porto Marlin Hotel
389,Itarema,BR,78.94,clear sky,-2.9248,-39.9167,Pousada Oásis
391,Bardiyah,LY,62.17,clear sky,31.7561,25.0865,فندق البردي
394,Mandera,KE,78.3,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
401,Bani,DO,75.85,broken clouds,18.2833,-70.3333,HOTEL GLAMOURS
404,Mao,ES,61.36,broken clouds,39.8885,4.2658,Eurohotel
405,Freetown,SL,78.39,light rain,8.484,-13.2299,Formal Leona hotel
406,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Coco Villa
410,El Prat De Llobregat,ES,57.74,broken clouds,41.3278,2.0947,Pensión Carlos III
412,Aswan,EG,63.88,clear sky,24.0934,32.907,Yaseen hotel
415,Tortoli,IT,60.28,overcast clouds,39.9256,9.6572,La Corte
